,项目,,,2025年度,,,2024年度,
,一、经营活动产生的现金流量：,,,,,,,
销售商品、提供劳务收到的现金,,,"260,130,965",,,"214,332,896",,
,收到的税费返还,,"4,548,347",,,"7,652,302",,
,收到其他与经营活动有关的现金,,"8,696,627",,,"5,959,797",,
,经营活动现金流入小计,,"273,375,939",,,"227,944,994",,
,购买商品、接受劳务支付的现金,,"168,526,049",,,"135,060,214",,
,支付给职工以及为职工支付的现金,,"8,047,717",,,"8,775,686",,
,支付的各项税费,,"13,520,071",,,"12,287,563",,
,支付其他与经营活动有关的现金,,"20,831,261",,,"4,948,264",,
,经营活动现金流出小计,,"210,925,098",,,"161,071,727",,
经营活动产生的现金流量净额,,,"62,450,842",,,"66,873,266",,
,二、投资活动产生的现金流量：,,,,,,,
收回投资收到的现金,,,"2,935,868",,,"1,259,126",,
,取得投资收益收到的现金,,"18,208,492",,,"12,500,511",,
,处置固定资产、无形资产和其他长,,"6,444",,,"14,794",,
,期资产收回的现金净额,,,,,,,
,处置子公司及其他营业单位收到的,,,,,,,
,现金净额,,,,,,,
,收到其他与投资活动有关的现金,,,,,,,
,投资活动现金流入小计,,"21,150,804",,,"13,774,431",,
,购建固定资产、无形资产和其他长,,"2,056,300",,,"3,130,258",,
,期资产支付的现金,,,,,,,
,投资支付的现金,,"55,180,366",,,"22,415,571",,
,取得子公司及其他营业单位支付的,,,,,,,
,现金净额,,,,,,,
,支付其他与投资活动有关的现金,,"43,336,050",,,"7,442,032",,
,投资活动现金流出小计,,"100,572,716",,,"32,987,861",,
