,2．提取一,,,,,,,,,,,,,,,,
,般风险准备,,,,,,,,,,,,,,,,
,3．对所有,,,,,,,,,,,,"-27,458,131",,"-27,458,131","-450,171","-27,908,302"
,者（或股,,,,,,,,,,,,,,,,
,东）的分配,,,,,,,,,,,,,,,,
,4．其他,,,,,,,,,,,,,,,,
,（四）所有,,,,,,,,"-72,577",,,,"72,577",,,,
,者权益内部,,,,,,,,,,,,,,,,
,结转,,,,,,,,,,,,,,,,
,1．资本公,,,,,,,,,,,,,,,,
,积转增资本,,,,,,,,,,,,,,,,
,（或股本）,,,,,,,,,,,,,,,,
,2．盈余公,,,,,,,,,,,,,,,,
,积转增资本,,,,,,,,,,,,,,,,
,（或股本）,,,,,,,,,,,,,,,,
,3．盈余公,,,,,,,,,,,,,,,,
,积弥补亏损,,,,,,,,,,,,,,,,
,4．设定受,,,,,,,,"-72,577",,,,"72,577",,,,
,益计划变动,,,,,,,,,,,,,,,,
,额结转留存,,,,,,,,,,,,,,,,
,收益,,,,,,,,,,,,,,,,
,5．其他综,,,,,,,,,,,,,,,,
,合收益结转,,,,,,,,,,,,,,,,
,留存收益,,,,,,,,,,,,,,,,
,6．其他,,,,,,,,,,,,,,,,
,（五）专项,,,,,,,,,"26,196",,,,,"26,196","10,352","36,549"
,储备,,,,,,,,,,,,,,,,
,1．本期提,,,,,,,,,"77,254",,,,,"77,254","10,600","87,854"
,取,,,,,,,,,,,,,,,,
,2．本期使,,,,,,,,,"-51,058",,,,,"-51,058",-248,"-51,305"
