,增资本（或股,,,,,,,,,,,,,
,本）,,,,,,,,,,,,,
,2．盈余公积转,,,,,,,,,,,,,
,增资本（或股,,,,,,,,,,,,,
,本）,,,,,,,,,,,,,
,3．盈余公积弥,,,,,,,,,,,,,
,补亏损,,,,,,,,,,,,,
,4．设定受益计,,,,,,,,,,,,,
,划变动额结转,,,,,,,,,,,,,
,留存收益,,,,,,,,,,,,,
,5．其他综合收,,,,,,,,"-46,205",,,"46,205",,
,益结转留存收,,,,,,,,,,,,,
,益,,,,,,,,,,,,,
,6．其他,,,,,,,,,,,,,
,（五）专项储,,,,,,,,,,,,,
,备,,,,,,,,,,,,,
,1．本期提取,,,,,,,,,,,,,
,2．本期使用,,,,,,,,,,,,,
,（六）其他,,,,,,,,,,,,,
,四、本期期末,,"4,403,466",,,,"94,452,344","2,712,804","-448,715",,"2,201,733","96,650,076",,"194,546,100"
,余额,,,,,,,,,,,,,
