司,,,2023年7 月10日- 2025年 10月27 日,"6,629,921",连带 责任 保证,,,3年 -22 年,否,否
,2025年3月15 日,"1,235,325",,,,,,,否,否
宜昌邦普时 代新能源有 限公司,2022年4月22 日、2024年3月 16日,"4,478,600",2022年 12月22 日-2025 年5月 23日,"45,558",连带 责任 保证,,已提供 反担保,1年 -3 年,是,否
,,,2022年 12月22 日-2025 年9月 26日,"1,120,409",连带 责任 保证,,已提供 反担保,1年 -9 年,否,否
宜昌邦普宜 化新材料有 限公司及其 控股子公司,2022年4月22 日,"2,211,440",2022年6 月28日- 2025年 12月11 日,"60,181",,,已提供 反担保,1个 月-3 年,是,否
,,,2022年6 月28日- 2025年 12月11 日,"1,289,597",,,已提供 反担保,6个 月- 10 年,否,否
宜春时代新 能源科技有 限公司,2022年4月22 日、2023年3月 10日,"3,260,000",2023年1 月17日- 2023年8 月29日,"144,866",连带 责任 保证,,,1年 -3 年,是,否
,,,2023年1 月17日- 2023年8 月29日,"2,578,927",连带 责任 保证,,,2年 -8 年,否,否
宜春时代新 能源资源有 限公司及其 控股子公司,2023年3月10 日、2024年3月 16日,"3,782,700",2023年6 月25日- 2025年8 月30日,"355,539",连带 责任 保证,,,6个 月-2 年,是,否
,,,2023年6 月25日- 2025年8 月30日,"2,641,582",连带 责任 保证,,,1年 -10 年,否,否
,2025年3月15 日,"3,160,000",2025年 12月26 日,"14,526",连带 责任 保证,,,2年 -7 年,否,否
成都金堂时 代新材料科 技有限公司,2022年4月22 日、2023年3月 10日,"500,000",2022年1 月17日- 2023年8 月28日,"20,677",连带 责任 保证,,,1年 -3 年,是,否
,,,2022年1 月17日- 2023年8 月28日,"407,638",连带 责任 保证,,,2年 -8 年,否,否
