,短期借款,,,,,,,
,交易性金融负债,,,,,,,
,衍生金融负债,,,,,"2,408,537",,
,应付票据,,"75,928,514",,,"50,701,433",,
,应付账款,,"101,045,861",,,"103,822,126",,
,预收款项,,,,,,,
,合同负债,,"39,679,974",,,"25,228,351",,
,应付职工薪酬,,"16,791,273",,,"14,038,319",,
,应交税费,,"6,145,376",,,"4,801,118",,
,其他应付款,,"12,967,074",,,"17,315,034",,
,其中：应付利息,,,,,,,
,应付股利,,,,,"5,400,161",,
,持有待售负债,,,,,,,
,一年内到期的非流动负债,,"9,302,930",,,"9,954,220",,
,其他流动负债,,"5,124,193",,,"2,218,997",,
,流动负债合计,,"266,985,195",,,"230,488,136",,
,非流动负债：,,,,,,,
,长期借款,,"19,706,957",,,"26,951,712",,
,应付债券,,"9,732",,,"4,866,013",,
,其中：优先股,,,,,,,
,永续债,,,,,,,
,租赁负债,,"112,849",,,"146,796",,
,长期应付款,,,,,,,
,长期应付职工薪酬,,,,,,,
,预计负债,,"76,911,865",,,"62,990,080",,
,递延收益,,"741,964",,,"705,408",,
,递延所得税负债,,,,,"789,773",,
,其他非流动负债,,,,,,,
,非流动负债合计,,"97,483,367",,,"96,449,782",,
,负债合计,,"364,468,562",,,"326,937,918",,
,所有者权益：,,,,,,,
股本,,,"4,563,803",,,"4,403,466",,
,其他权益工具,,,,,,,
,其中：优先股,,,,,,,
,永续债,,,,,,,
,资本公积,,"132,644,612",,,"94,452,344",,
,减：库存股,,"7,097,993",,,"2,712,804",,
,其他综合收益,,"3,734,297",,,"-448,715",,
,专项储备,,,,,,,
,盈余公积,,"2,281,902",,,"2,201,733",,
