,项目,,,2025年,,,2024年,,,同比增减,
,经营活动现金流入小计,,"511,868,353",,,"444,879,417",,,15.06%,,
,经营活动现金流出小计,,"378,648,372",,,"347,889,072",,,8.84%,,
,经营活动产生的现金流量净额,,"133,219,982",,,"96,990,345",,,37.35%,,
,投资活动现金流入小计,,"8,303,785",,,"4,906,012",,,69.26%,,
,投资活动现金流出小计,,"102,779,575",,,"53,781,323",,,91.11%,,
,投资活动产生的现金流量净额,,"-94,475,790",,,"-48,875,311",,,-93.30%,,
,筹资活动现金流入小计,,"85,607,537",,,"33,392,735",,,156.37%,,
,筹资活动现金流出小计,,"91,917,080",,,"47,916,971",,,91.83%,,
,筹资活动产生的现金流量净额,,"-6,309,543",,,"-14,524,236",,,56.56%,,
,现金及现金等价物净增加额,,"29,770,008",,,"31,994,247",,,-6.95%,,
