,交易性金融资产,,"44,974,875",,,"10,871,100",,
,衍生金融资产,,"978,371",,,,,
,应收票据,,,,,,,
,应收账款,,"84,277,741",,,"69,969,060",,
,应收款项融资,,"37,246,924",,,"49,145,249",,
,预付款项,,"11,434,740",,,"3,593,245",,
,其他应收款,,"98,022,722",,,"33,353,170",,
,其中：应收利息,,,,,,,
,应收股利,,,,,,,
,存货,,"45,233,246",,,"32,369,700",,
,其中：数据资源,,,,,,,
,合同资产,,"350,770",,,"360,229",,
,持有待售资产,,,,,,,
,一年内到期的非流动资产,,"15,653",,,,,
,其他流动资产,,"2,938,871",,,"916,489",,
,流动资产合计,,"503,161,768",,,"404,176,178",,
,非流动资产：,,,,,,,
,债权投资,,,,,,,
,其他债权投资,,,,,,,
,长期应收款,,"266,473",,,,,
,长期股权投资,,"105,129,933",,,"87,047,194",,
,其他权益工具投资,,"5,764,516",,,"4,528,748",,
,其他非流动金融资产,,"1,308,093",,,"1,177,193",,
,投资性房地产,,,,,,,
,固定资产,,"3,805,999",,,"2,363,547",,
,在建工程,,"1,626,442",,,"613,304",,
,生产性生物资产,,,,,,,
,油气资产,,,,,,,
,使用权资产,,"129,986",,,"161,965",,
,无形资产,,"365,180",,,"357,706",,
,其中：数据资源,,,,,,,
,开发支出,,,,,,,
,其中：数据资源,,,,,,,
,商誉,,,,,,,
,长期待摊费用,,"140,685",,,"76,114",,
,递延所得税资产,,"15,734,083",,,"13,496,389",,
,其他非流动资产,,"5,773,715",,,"7,485,682",,
,非流动资产合计,,"140,045,104",,,"117,307,840",,
,资产总计,,"643,206,871",,,"521,484,018",,
,流动负债：,,,,,,,
