,欧元,,"16,568",,,8.2355,,,"136,459",,
,日元,,"53,313",,,0.0448,,,"2,388",,
,印度尼西亚盾,,"33,838,576",,,0.0004,,,"14,096",,
,其他币种,,,,,,,,784,,
,小计,,,,,,,,"411,616",,
,应付账款,,,,,,,,,,
,其中：美元,,"154,046",,,7.0288,,,"1,081,247",,
,欧元,,"242,696",,,8.2355,,,"1,998,682",,
,英镑,,323,,,9.4346,,,"3,048",,
,印度尼西亚盾,,"1,370,990,331",,,0.0004,,,"571,542",,
,林吉特,,"40,400",,,1.7319,,,"68,267",,
,其他币种,,,,,,,,503,,
,小计,,,,,,,,"3,723,289",,
,其他应付款,,,,,,,,,,
,其中：美元,,"115,390",,,7.0288,,,"811,052",,
,欧元,,"136,450",,,8.2355,,,"1,123,732",,
,印度尼西亚盾,,"69,563,229",,,0.0004,,,"28,985",,
,其他币种,,,,,,,,"1,478",,
,小计,,,,,,,,"1,965,247",,
,短期借款,,,,,,,,,,
,其中：美元,,"247,063",,,7.0288,,,"1,736,556",,
,长期借款,,,,,,,,,,
,其中：美元,,"1,535,680",,,7.0288,,,"10,793,989",,
,欧元,,"785,731",,,8.2355,,,"6,470,884",,
,小计,,,,,,,,"17,264,873",,
,应付债券,,,,,,,,,,
,其中：美元,,"488,519",,,7.0288,,,"3,433,702",,
,一年内到期的非流动负债,,,,,,,,,,
,其中：美元,,"515,051",,,7.0288,,,"3,620,191",,
