项目,2025年12月31日,,,,,,,,,,,,,,
,,一年以内,,,一至二年,,,二至五年,,,五年以上,,,合计,
短期借款,"12,935,498",,,,,,,,,,,,"12,935,498",,
衍生金融负债,"393,224",,,,,,,,,,,,"393,224",,
应付票据,"103,276,999",,,,,,,,,,,,"103,276,999",,
应付账款,"160,328,962",,,,,,,,,,,,"160,328,962",,
其他应付款,"10,504,098",,,,,,,,,,,,"10,504,098",,
一年内到期的非流动负 债,"22,237,540",,,,,,,,,,,,"22,237,540",,
长期借款,,,,"15,076,474",,,"46,515,161",,,"16,643,300",,,"78,234,935",,
应付债券,,,,"9,732",,,"3,433,702",,,,,,"3,443,434",,
租赁负债,,,,"421,341",,,"1,379,038",,,"1,004,702",,,"2,805,081",,
长期应付款,,,,"18,080",,,"1,554,541",,,"66,988",,,"1,639,608",,
合计,"309,676,322",,,"15,525,627",,,"52,882,441",,,"17,714,990",,,"395,799,379",,
