成都市新津 时代新能源 科技有限公 司,2022年4月22 日、2023年3月 10日,"1,250,000",2022年5 月26日- 2023年7 月26日,"80,430",连带 责任 保证,,,2年 -3 年,是,否
,,,2022年5 月26日- 2023年7 月26日,"712,827",连带 责任 保证,,,2年 -8 年,否,否
福鼎时代新 能源科技有 限公司,2021年4月28 日、2021年10 月14日、2022 年4月22日、 2023年3月10 日,"2,931,251",2021年 11月30 日-2025 年1月1 日,"738,267",连带 责任 保证,,,6个 月-4 年,是,否
,,,2021年 11月30 日-2025 年1月1 日,"2,115,164",连带 责任 保证,,,1年 -10 年,否,否
,2025年3月15 日,"1,000,000",,,,,,,否,否
广东瑞庆时 代新能源科 技有限公司,2021年4月28 日,"4,890,000",2022年4 月25日- 2022年 11月10 日,"51,586",连带 责任 保证,,,2年 -3 年,是,否
,,,2022年4 月25日- 2022年 11月10 日,"433,322",连带 责任 保证,,,3年 -8 年,否,否
,2025年3月15 日,"300,000",,,,,,,否,否
江苏时代新 能源科技有 限公司,2022年4月22 日,"986,409",2022年9 月15日- 2023年3 月20日,"161,994",连带 责任 保证,,,2年 -3 年,是,否
,,,2022年9 月15日- 2023年3 月20日,"747,612",连带 责任 保证,,,3年 -8 年,否,否
,2025年3月15 日,"3,200,000",,,,,,,否,否
宁波邦普时 代新能源有 限公司,2024年3月16 日,"1,007,930",2025年5 月19日- 2025年8 月11日,125,连带 责任 保证,,已提供 反担保,2个 月-1 年,是,否
,,,2025年5 月19日- 2025年8 月11日,"499,675",连带 责任 保证,,已提供 反担保,6个 月-7 年,否,否
宁德邦普循 环科技有限 公司,2021年4月28 日、2021年10 月27日,"2,058,000",2021年 12月28 日-2025 年6月 27日,"151,546",连带 责任 保证,,已提供 反担保,1年 -4 年,是,否
