,,,2021年 12月28 日-2025 年6月 27日,"858,693",连带 责任 保证,,已提供 反担保,1年 -10 年,否,否
宁德蕉城时 代新能源科 技有限公司,2021年4月28 日、2021年10 月27日,"1,940,913",2021年 12月17 日-2022 年6月 29日,"191,946",连带 责任 保证,,,3年 -4 年,是,否
,,,2021年 12月17 日-2022 年6月 29日,"1,575,571",连带 责任 保证,,,3年 -8 年,否,否
,2025年3月15 日,"1,000,000",,,,,,,否,否
宁德时代 （贵州）新 能源科技有 限公司,2022年4月22 日、2023年3月 10日、2024年3 月16日,"1,603,292",2023年3 月27日- 2024年7 月19日,"47,120",连带 责任 保证,,,1年 -3 年,是,否
,,,2023年3 月27日- 2024年7 月19日,"1,156,019",连带 责任 保证,,,2年 -8 年,否,否
,2025年3月15 日,"2,000,000",2025年4 月17日- 2025年6 月19日,40,连带 责任 保证,,,1个 月-8 个 月,是,否
,,,2025年4 月17日- 2025年 12月26 日,"258,440",连带 责任 保证,,,6个 月-5 年,否,否
屏南时代新 材料技术有 限公司,2018年8月24 日、2021年4月 28日、2021年 10月27日、 2022年4月22 日,"948,550",2018年 12月18 日-2025 年4月 14日,"94,746",连带 责任 保证,,已提供 反担保,1年 -6 年,是,否
,,,2018年 12月18 日-2025 年4月 14日,"367,463",连带 责任 保证,,已提供 反担保,1年 -10 年,否,否
,2025年3月15 日,"141,000",2025年7 月1日,"58,800",连带 责任 保证,,已提供 反担保,2年 -7 年,否,否
普勤时代国 际有限公司,2023年3月10 日,"665,280",2023年 12月21 日,"26,611",连带 责任 保证,,已提供 反担保,1年 -2 年,是,否
,,,2023年 12月21 日,"635,216",连带 责任 保证,,已提供 反担保,2年 -7 年,否,否
