瑞庭时代 （上海）新 能源科技有 限公司,2023年3月10 日,"483,730",2023年 11月10 日-2024 年1月 10日,"483,727",连带 责任 保证,,,2年 -8 年,否,否
,2025年3月15 日,"200,000",,,,,,,否,否
厦门时代新 能源科技有 限公司,2023年3月10 日,"1,496,520",2023年6 月14日- 2025年 10月17 日,"10,039",连带 责任 保证,,,1个 月-2 年,是,否
,,,2023年4 月27日- 2025年 11月27 日,"1,356,666",连带 责任 保证,,,5个 月-8 年,否,否
,2025年3月15 日,"2,200,000",,,,,,,否,否
厦门新能安 科技有限公 司,2022年4月22 日、2023年3月 10日,"2,520,000",2022年 12月26 日-2024 年1月 29日,"42,530",连带 责任 保证,,,1年 -3 年,是,否
,,,2022年 12月26 日-2024 年5月 16日,"2,047,731",连带 责任 保证,,,2年 -8 年,否,否
,2025年3月15 日,"1,120,000",2025年9 月15日,409,连带 责任 保证,,,1个 月,是,否
,,,2025年5 月19日- 2025年9 月15日,"73,728",连带 责任 保证,,,2年 -5 年,否,否
时代电服科 技有限公司,2022年11月1 日,"3,380,000",2022年 11月25 日-2022 年12月 13日,"429,558",连带 责任 保证,,,2年 -3 年,是,否
,,,2022年 11月25 日-2022 年12月 13日,"2,144,856",连带 责任 保证,,,3年 -5 年,否,否
时代电服科 技有限公司 及其控股子 公司,2025年3月15 日,"2,000,000",,,,,,,否,否
时代瑞鼎发 展有限公司,2020年4月25 日、2021年4月 28日,"7,028,800",2020年9 月17日,"7,028,800",连带 责任 保证,,,5年,是,否
,,,2020年9 月17日- 2021年9 月10日,"7,028,800",连带 责任 保证,,,5年 -10 年,否,否
