,项目,,,期末余额,,,期初余额,
,流动资产：,,,,,,,
,货币资金,,"333,512,927",,,"303,511,993",,
,结算备付金,,,,,,,
,拆出资金,,,,,,,
,交易性金融资产,,"58,993,528",,,"14,282,253",,
,衍生金融资产,,"1,133,502",,,,,
,应收票据,,"1,380,016",,,"130,403",,
,应收账款,,"76,403,264",,,"64,135,510",,
,应收款项融资,,"43,205,292",,,"53,309,701",,
,预付款项,,"14,282,335",,,"5,969,685",,
,应收保费,,,,,,,
,应收分保账款,,,,,,,
,应收分保合同准备金,,,,,,,
,其他应收款,,"2,119,770",,,"2,206,947",,
,其中：应收利息,,,,,,,
,应收股利,,"77,327",,,"65,217",,
,买入返售金融资产,,,,,,,
,存货,,"94,526,239",,,"59,835,533",,
,其中：数据资源,,,,,,,
,合同资产,,"375,468",,,"400,626",,
,持有待售资产,,,,,,,
,一年内到期的非流动资产,,"169,898",,,"72,972",,
,其他流动资产,,"12,379,304",,,"6,286,465",,
,流动资产合计,,"638,481,543",,,"510,142,089",,
,非流动资产：,,,,,,,
,发放贷款和垫款,,,,,,,
,债权投资,,,,,,,
,其他债权投资,,,,,,,
,长期应收款,,"386,180",,,"151,342",,
,长期股权投资,,"64,884,321",,,"54,791,525",,
,其他权益工具投资,,"16,296,853",,,"11,900,901",,
