,2025年3月15 日,"10,543,200",,,,,,,否,否
时代思康新 材料有限公 司,2022年4月22 日、2023年3月 10日,"639,000",2022年6 月2日- 2024年2 月4日,"60,718",连带 责任 保证,,,1年 -4 年,是,否
,,,2022年6 月2日- 2024年2 月4日,"451,808",连带 责任 保证,,,3年 -5 年,否,否
,2025年3月15 日,"50,000",,,,,,,否,否
四川时代新 能源科技有 限公司,2020年4月25 日、2021年4月 28日、2022年4 月22日、2023 年3月10日,"10,387,000",2020年 10月21 日-2023 年8月 30日,"614,690",连带 责任 保证,,,1年 -5 年,是,否
,,,2020年 10月21 日-2023 年8月 30日,"6,266,746",连带 责任 保证,,,2年 -8 年,否,否
四川时代新 能源科技有 限公司及其 控股子公司,2025年3月15 日,"3,200,000",2025年 12月17 日-2025 年12月 30日,"155,862",连带 责任 保证,,,1年 -5 年,否,否
中州时代新 能源科技有 限公司,2025年3月15 日,"7,500,000",2025年4 月27日- 2025年 12月29 日,"1,155,320",连带 责任 保证,,,1年 -5 年,否,否
山东时代新 能源科技有 限公司,2024年3月16 日,"177,077",2025年3 月21日,"22,330",连带 责任 保证,,,9个 月,是,否
,,,2025年3 月27日,"177,077",连带 责任 保证,,,1年 -5 年,否,否
,2025年3月15 日,"7,500,000",2025年4 月16日- 2025年 12月26 日,"523,439",连带 责任 保证,,,1年 -5 年,否,否
湖北宜化江 家墩矿业有 限公司,2023年3月10 日,"261,170",2024年9 月25日- 2025年 10月21 日,"30,790",连带 责任 保证,,已提供 反担保,2年 -10 年,否,否
青海时代新 能源科技有 限公司,2025年3月15 日,"1,200,000",2025年6 月26日- 2025年 10月17 日,"6,757",连带 责任 保证,,,1年 -5 年,否,否
宁德福宁时 代新能源有 限公司,2025年3月15 日,"830,000",,,,,,,否,否
