项目,,,,2024年度,,,,,,,,,,,,,,,,,
,,,股本,,,其他权益工具,,,,,,,资本公积,减：库存股,其他综合收 益,专项储备,盈余公积,未分配利润,其他,所有者权益合计,
,,,,,,优,,,永,,其 他,,,,,,,,,,
,,,,,,先,,,续,,,,,,,,,,,,
,,,,,,股,,,债,,,,,,,,,,,,
,一、上年期末,,"4,399,041",,,,,,,,,,"91,926,289","1,572,972","-366,779",,"2,199,521","69,389,703",,"165,974,803",
,余额,,,,,,,,,,,,,,,,,,,,
,加：会计,,,,,,,,,,,,,,,,,,,,
,政策变更,,,,,,,,,,,,,,,,,,,,
,前期,,,,,,,,,,,,,,,,,,,,
,差错更正,,,,,,,,,,,,,,,,,,,,
,其他,,,,,,,,,,,,,,,,,,,,
,二、本年期初,,"4,399,041",,,,,,,,,,"91,926,289","1,572,972","-366,779",,"2,199,521","69,389,703",,"165,974,803",
