,其他流动负债,,"5,830,358",,,"2,058,196",,
,流动负债合计,,"399,625,988",,,"317,171,534",,
,非流动负债：,,,,,,,
,保险合同准备金,,,,,,,
,长期借款,,"78,234,935",,,"81,238,456",,
,应付债券,,"3,443,434",,,"11,922,623",,
,其中：优先股,,,,,,,
,永续债,,,,,,,
,租赁负债,,"2,805,081",,,"662,814",,
,长期应付款,,"1,639,608",,,"1,606,480",,
,长期应付职工薪酬,,,,,,,
,预计负债,,"85,324,358",,,"71,926,943",,
,递延收益,,"27,321,553",,,"22,041,069",,
,递延所得税负债,,"922,254",,,"1,231,236",,
,其他非流动负债,,"4,484,010",,,"5,400,795",,
,非流动负债合计,,"204,175,232",,,"196,030,416",,
,负债合计,,"603,801,220",,,"513,201,949",,
,所有者权益：,,,,,,,
,股本,,"4,563,803",,,"4,403,466",,
,其他权益工具,,,,,,,
,其中：优先股,,,,,,,
,永续债,,,,,,,
,资本公积,,"156,248,214",,,"116,756,136",,
,减：库存股,,"7,097,993",,,"2,712,804",,
,其他综合收益,,"6,454,423",,,"-348,637",,
,专项储备,,"35,515",,,"35,551",,
,盈余公积,,"2,274,947",,,"2,194,779",,
,一般风险准备,,,,,,,
,未分配利润,,"174,628,837",,,"126,601,541",,
,归属于母公司所有者权益合计,,"337,107,747",,,"246,930,033",,
,少数股东权益,,"33,918,577",,,"26,526,141",,
,所有者权益合计,,"371,026,324",,,"273,456,174",,
,负债和所有者权益总计,,"974,827,544",,,"786,658,123",,
