,,,2021年 12月24 日-2025 年10月 21日,"453,409",连带 责任 保证,,,2年 -10 年,否,否
宁波邦普时 代新能源有 限公司,2024年3月16 日,"1,049,070",2025年5 月19日- 2025年8 月11日,130,连带 责任 保证,,已提供 反担保,2个 月-1 年,是,否
,,,2025年5 月19日- 2025年8 月11日,"520,070",连带 责任 保证,,已提供 反担保,6个 月-7 年,否,否
宁波邦普时 代新能源有 限公司,2025年3月15 日,"84,346",2024年 12月10 日,"8,445",连带 责任 保证,,,1年,是,
,,,2024年 12月10 日,"75,901",连带 责任 保证,,,1年 -5 年,否,否
宁德邦普循 环科技有限 公司,2021年4月28 日、2021年10 月27日,"2,142,000",2021年 12月28 日-2025 年6月 27日,"157,731",连带 责任 保证,,已提供 反担保,1年 -4 年,是,否
,,,2021年 12月28 日-2025 年6月 27日,"893,742",连带 责任 保证,,已提供 反担保,1年 -10 年,否,否
普勤时代国 际有限公司,2023年3月10 日,"692,435",2023年 12月21 日,"27,697",连带 责任 保证,,已提供 反担保,1年 -2 年,是,否
,,,2023年 12月21 日,"661,144",连带 责任 保证,,已提供 反担保,2年 -7 年,否,否
香港邦普时 代新能源有 限公司,2021年4月28 日、2021年10 月14日、2021 年10月27日、 2024年3月16 日,"4,658,626",2021年 12月14 日-2025 年5月 20日,"2,802,022",连带 责任 保证,,已提供 反担保,3个 月-4 年,是,否
,,,2021年7 月29日- 2025年5 月20日,"2,867,750",连带 责任 保证,,已提供 反担保,4年 -5 年,否,否
,2025年3月15 日,"3,654,976",,,,,,,否,否
宜昌邦普时 代新能源有 限公司,2022年4月22 日、2024年3月 16日,"4,661,400",2022年 12月22 日-2025 年5月 23日,"47,418",连带 责任 保证,,已提供 反担保,1年 -3 年,是,否
,,,2022年 12月22 日-2025 年9月 26日,"1,166,140",连带 责任 保证,,已提供 反担保,1年 -9 年,否,否
