,其他非流动金融资产,,"2,882,264",,,"3,135,658",,
,投资性房地产,,,,,,,
,固定资产,,"146,400,592",,,"112,589,053",,
,在建工程,,"29,733,108",,,"29,754,703",,
,生产性生物资产,,,,,,,
,油气资产,,,,,,,
,使用权资产,,"3,268,966",,,"889,995",,
,无形资产,,"15,263,875",,,"14,419,804",,
,其中：数据资源,,,,,,,
,开发支出,,,,,,,
,其中：数据资源,,,,,,,
,商誉,,"837,328",,,"894,757",,
,长期待摊费用,,"4,960,638",,,"4,593,980",,
,递延所得税资产,,"28,170,283",,,"24,118,834",,
,其他非流动资产,,"23,261,595",,,"19,275,483",,
,非流动资产合计,,"336,346,001",,,"276,516,035",,
,资产总计,,"974,827,544",,,"786,658,123",,
,流动负债：,,,,,,,
,短期借款,,"12,935,498",,,"19,696,282",,
,向中央银行借款,,,,,,,
,拆入资金,,,,,,,
,交易性金融负债,,,,,,,
,衍生金融负债,,"393,224",,,"2,116,017",,
,应付票据,,"103,276,999",,,"67,356,323",,
,应付账款,,"160,328,962",,,"130,977,408",,
,预收款项,,,,,,,
,合同负债,,"49,233,377",,,"27,834,446",,
,卖出回购金融资产款,,,,,,,
,吸收存款及同业存放,,,,,,,
,代理买卖证券款,,,,,,,
,代理承销证券款,,,,,,,
,应付职工薪酬,,"23,110,912",,,"18,653,079",,
,应交税费,,"11,775,019",,,"9,436,442",,
,其他应付款,,"10,504,098",,,"16,161,923",,
,其中：应付利息,,,,,,,
,应付股利,,,,,"5,400,161",,
,应付手续费及佣金,,,,,,,
,应付分保账款,,,,,,,
,持有待售负债,,,,,,,
,一年内到期的非流动负债,,"22,237,540",,,"22,881,417",,
