,项目,,,期末外币余额,,,折算汇率,,,期末折算人民币余额,
,货币资金,,,,,,,,,,
,其中：美元,,"22,036,045",,,7.0288,,,"154,886,952",,
,港元,,"1,354,579",,,0.9032,,,"1,223,461",,
,欧元,,"2,571,129",,,8.2355,,,"21,174,536",,
,日元,,"5,138,223",,,0.0448,,,"230,177",,
,印度尼西亚盾,,"764,821,074",,,0.0004,,,"319,292",,
,澳元,,"32,715",,,4.6892,,,"153,408",,
,其他币种,,,,,,,,"102,710",,
小计,,,,,,,,,"178,090,537",,
,应收账款,,,,,,,,,,
,其中：美元,,"550,095",,,7.0288,,,"3,866,498",,
,欧元,,"77,157",,,8.2355,,,"635,432",,
,日元,,"1,770,305",,,0.0448,,,"79,304",,
,印度尼西亚盾,,"153,652,405",,,0.0004,,,"64,319",,
小计,,,,,,,,,"4,645,553",,
,其他应收款,,,,,,,,,,
,其中：美元,,"36,690",,,7.0288,,,"257,888",,
