,拆入资金净增加额,,,,,,,
,回购业务资金净增加额,,,,,,,
,代理买卖证券收到的现金净额,,,,,,,
,收到的税费返还,,"7,688,313",,,"10,506,188",,
,收到其他与经营活动有关的现金,,"26,383,516",,,"16,847,851",,
,经营活动现金流入小计,,"511,868,353",,,"444,879,417",,
,购买商品、接受劳务支付的现金,,"300,381,833",,,"285,455,632",,
,客户贷款及垫款净增加额,,,,,,,
,存放中央银行和同业款项净增加额,,,,,,,
,支付原保险合同赔付款项的现金,,,,,,,
,拆出资金净增加额,,,,,,,
,支付利息、手续费及佣金的现金,,,,,,,
,支付保单红利的现金,,,,,,,
,支付给职工以及为职工支付的现金,,"32,789,183",,,"25,499,653",,
,支付的各项税费,,"34,458,707",,,"28,529,188",,
,支付其他与经营活动有关的现金,,"11,018,649",,,"8,404,599",,
,经营活动现金流出小计,,"378,648,372",,,"347,889,072",,
经营活动产生的现金流量净额,,,"133,219,982",,,"96,990,345",,
,二、投资活动产生的现金流量：,,,,,,,
收回投资收到的现金,,,"5,685,583",,,"2,028,899",,
,取得投资收益收到的现金,,"2,280,470",,,"1,838,083",,
,处置固定资产、无形资产和其他长,,"211,949",,,"75,110",,
,期资产收回的现金净额,,,,,,,
,处置子公司及其他营业单位收到的,,"27,411",,,,,
,现金净额,,,,,,,
,收到其他与投资活动有关的现金,,"98,372",,,"963,920",,
,投资活动现金流入小计,,"8,303,785",,,"4,906,012",,
,购建固定资产、无形资产和其他长,,"42,344,558",,,"31,179,943",,
,期资产支付的现金,,,,,,,
,投资支付的现金,,"57,533,827",,,"22,169,451",,
,质押贷款净增加额,,,,,,,
,取得子公司及其他营业单位支付的,,"2,053,675",,,"244,022",,
,现金净额,,,,,,,
,支付其他与投资活动有关的现金,,"847,516",,,"187,907",,
,投资活动现金流出小计,,"102,779,575",,,"53,781,323",,
,投资活动产生的现金流量净额,,"-94,475,790",,,"-48,875,311",,
,三、筹资活动产生的现金流量：,,,,,,,
吸收投资收到的现金,,,"44,813,984",,,"2,560,428",,
,其中：子公司吸收少数股东投资收,,"6,094,575",,,"1,959,694",,
,到的现金,,,,,,,
,取得借款收到的现金,,"39,790,079",,,"30,540,129",,
,收到其他与筹资活动有关的现金,,"1,003,474",,,"292,179",,
,筹资活动现金流入小计,,"85,607,537",,,"33,392,735",,
